   Medha Speed Time Distance Recording System Type MRT 922
                    Short Term Digital Report       Recorder Sl.No  4296
___________________________________________________________________________________________________________________________________________________________
Filename           :CMSM41              Locono  : 041588       FileSave Date : 06-05-2024
Userfilename       :                                   FileSave Time : 08:45:37 AM
Start Date , Time  :05/05/24  21:45:30  End Date , Time : 06/05/24   08:21:24
Shedname           :AQ ELS            Start Dist   : 275.116  End Dist : 489.565
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BTTR1973          Train No: TEMP             Locono : 41588  Spd Limit :100 Kmph   Wheel Dia :1083 mm 
05/05/24 | 19:48:34 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
05/05/24 | 21:53:10 | 006 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:11 | 006 | 0001 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:12 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:13 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:14 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:15 | 007 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:16 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:17 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:18 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:19 | 008 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:20 | 008 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:21 | 009 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:22 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:23 | 009 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:24 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:25 | 009 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:26 | 010 | 0002 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:27 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:28 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:29 | 010 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:30 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:31 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:32 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:33 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:34 | 011 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:35 | 012 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:36 | 012 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:37 | 012 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:38 | 012 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:39 | 012 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:40 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:41 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:42 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:43 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:44 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:45 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:46 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:47 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:48 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:49 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
05/05/24 | 21:53:50 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:51 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:52 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:53 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:54 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:55 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:56 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:57 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:58 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:53:59 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:00 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:01 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:02 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:03 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:04 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:05 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:06 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:07 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:08 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:09 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:10 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:11 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:12 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:13 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:14 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:15 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:16 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:17 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:18 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:19 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:20 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:21 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:22 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:23 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:24 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:25 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:26 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:27 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:28 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:29 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:30 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:31 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:32 | 014 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:33 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:34 | 014 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:35 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
05/05/24 | 21:54:36 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:37 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:38 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:39 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:40 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:41 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:42 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:43 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:44 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:45 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:46 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:47 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:48 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:49 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:50 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:51 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:52 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:53 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:54 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:55 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:56 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:57 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:58 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:54:59 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:00 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:01 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:02 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:03 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:04 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:05 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:06 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:07 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:08 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:09 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:10 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:11 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:12 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:13 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:14 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:15 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:16 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:17 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:18 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:19 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:20 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:21 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
05/05/24 | 21:55:22 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:23 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:24 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:25 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:26 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:27 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:28 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:29 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:30 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:31 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:32 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:33 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:34 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:35 | 013 | 0003 | Off | Off | On  | Off | Off | Off | Off | Off |                           
05/05/24 | 21:55:36 | 013 | 0004 | Off | Off | On  | Off | Off | Off | Off | Off |                           
